tasks_completed,average_score,average_teacher_score,average_model_score,time_spent,avg_attempts,late_submissions,efficiency_per_minute,correct_ratio,teacher_model_gap,late_ratio,final_efficiency_score
7,0.68,0.65,0.54,365,1.32,0,0.00186,0.5152,0.11,0.0,8.97
9,0.78,0.59,0.71,693,1.39,0,0.00113,0.5612,0.12,0.0,9.23
15,0.69,0.68,1.0,187,1.8,1,0.00369,0.3833,0.32,0.0667,8.32
15,0.77,0.64,0.88,684,2.09,0,0.00113,0.3684,0.24,0.0,9.23
10,0.85,0.76,0.62,998,1.6,3,0.00085,0.5312,0.14,0.3,8.89
13,0.69,0.6,0.61,332,1.28,1,0.00208,0.5391,0.01,0.0769,8.66
19,0.76,0.54,0.6,907,1.52,0,0.00084,0.5,0.06,0.0,9.64
7,0.52,0.61,0.83,501,1.26,0,0.00104,0.4127,0.22,0.0,8.05
17,0.69,0.61,0.94,562,1.0,1,0.00123,0.69,0.33,0.0588,10.0
20,0.58,0.64,0.79,189,2.26,0,0.00307,0.2566,0.15,0.0,9.96
4,0.71,0.73,0.72,191,2.13,0,0.00372,0.3333,0.01,0.0,7.84
5,0.72,0.72,0.63,656,2.89,2,0.0011,0.2491,0.09,0.4,7.12
7,0.72,0.79,0.75,994,3.1,1,0.00072,0.2323,0.04,0.1429,7.49
13,0.65,0.55,0.58,541,1.0,1,0.0012,0.65,0.03,0.0769,9.24
15,0.93,0.7,0.41,921,1.27,1,0.00101,0.7323,0.29,0.0667,9.71
11,0.57,0.74,0.95,449,3.26,1,0.00127,0.1748,0.21,0.0909,8.18
4,0.57,0.57,0.55,652,1.47,1,0.00087,0.3878,0.02,0.25,7.62
13,0.87,0.63,0.65,384,1.67,1,0.00227,0.521,0.02,0.0769,10.0
7,0.63,0.44,0.8,128,1.0,1,0.00492,0.63,0.36,0.1429,7.9
19,0.61,0.76,0.92,719,1.61,2,0.00085,0.3789,0.16,0.1053,8.76
2,0.93,0.62,0.74,507,2.85,2,0.00183,0.3263,0.12,1.0,7.11
10,0.8,0.75,0.52,587,2.4,1,0.00136,0.3333,0.23,0.1,7.51
13,0.64,0.67,0.65,878,1.07,2,0.00073,0.5981,0.02,0.1538,8.29
6,0.72,0.63,0.6,676,1.22,0,0.00107,0.5902,0.03,0.0,8.33
12,0.89,0.46,0.69,224,1.0,2,0.00397,0.89,0.23,0.1667,8.81
12,0.77,0.48,0.88,547,1.0,1,0.00141,0.77,0.4,0.0833,8.97
20,0.83,0.34,0.32,772,1.0,1,0.00108,0.83,0.02,0.05,9.71
11,0.78,0.58,0.64,768,1.44,0,0.00102,0.5417,0.06,0.0,8.96
7,0.79,0.92,0.63,485,2.56,3,0.00163,0.3086,0.29,0.4286,7.43
1,0.7,0.5,0.51,756,1.75,0,0.00093,0.4,0.01,0.0,7.81
1,0.7,0.33,0.79,893,2.46,1,0.00078,0.2846,0.46,1.0,6.3
20,0.73,0.77,0.49,324,2.25,0,0.00225,0.3244,0.28,0.0,9.21
13,0.77,0.93,0.51,934,1.12,1,0.00082,0.6875,0.42,0.0769,9.58
9,0.67,0.69,0.83,671,1.0,1,0.001,0.67,0.14,0.1111,8.4
3,0.71,0.68,0.93,401,1.0,1,0.00177,0.71,0.25,0.3333,7.8
7,0.67,0.61,0.69,891,1.0,0,0.00075,0.67,0.08,0.0,9.12
6,0.71,0.43,0.52,785,1.52,0,0.0009,0.4671,0.09,0.0,8.2
8,0.57,0.48,0.59,337,1.0,2,0.00169,0.57,0.11,0.25,8.66
9,0.96,0.61,0.85,733,1.91,0,0.00131,0.5026,0.24,0.0,9.38
5,0.63,0.59,0.72,498,1.55,1,0.00127,0.4065,0.13,0.2,8.23
1,0.66,0.64,0.68,216,1.83,0,0.00306,0.3607,0.04,0.0,7.67
19,0.62,0.75,0.75,481,2.24,2,0.00129,0.2768,0.0,0.1053,9.01
10,0.76,0.58,0.69,310,1.64,0,0.00245,0.4634,0.11,0.0,9.58
12,0.68,0.75,0.93,937,2.64,1,0.00073,0.2576,0.18,0.0833,7.71
15,0.6,0.58,0.59,668,1.94,0,0.0009,0.3093,0.01,0.0,8.89
9,0.77,0.77,0.57,589,1.0,2,0.00131,0.77,0.2,0.2222,9.7
20,0.78,0.66,0.49,386,1.33,2,0.00202,0.5865,0.17,0.1,9.5
17,0.69,0.6,0.62,954,1.0,2,0.00072,0.69,0.02,0.1176,10.0
17,0.63,0.66,0.54,156,1.0,1,0.00404,0.63,0.12,0.0588,9.14
20,0.92,0.61,0.73,572,1.23,0,0.00161,0.748,0.12,0.0,10.0
12,0.73,0.66,0.7,275,1.88,0,0.00265,0.3883,0.04,0.0,9.06
7,0.57,0.74,0.54,191,1.0,2,0.00298,0.57,0.2,0.2857,7.11
2,0.84,0.64,0.79,319,1.0,1,0.00263,0.84,0.15,0.5,8.34
3,0.61,0.61,0.93,184,1.0,0,0.00332,0.61,0.32,0.0,8.19
17,0.97,0.52,0.75,141,1.08,0,0.00688,0.8981,0.23,0.0,10.0
5,0.71,0.72,0.32,342,2.87,0,0.00208,0.2474,0.4,0.0,7.35
17,0.8,0.69,1.0,742,1.69,0,0.00108,0.4734,0.31,0.0,10.0
17,0.49,0.51,0.81,118,2.16,3,0.00415,0.2269,0.3,0.1765,8.01
17,0.57,0.75,0.99,603,1.0,1,0.00095,0.57,0.24,0.0588,9.9
2,0.83,0.51,0.86,220,1.0,0,0.00377,0.83,0.35,0.0,9.35
2,0.73,0.77,0.89,343,1.0,2,0.00213,0.73,0.12,1.0,8.57
5,0.9,0.73,0.73,165,1.43,1,0.00545,0.6294,0.0,0.2,9.0
1,0.75,0.7,0.66,164,1.0,1,0.00457,0.75,0.04,1.0,8.31
1,0.71,0.6,0.76,498,1.0,1,0.00143,0.71,0.16,1.0,8.51
19,0.87,0.72,0.59,287,1.09,0,0.00303,0.7982,0.13,0.0,10.0
2,0.8,0.78,0.77,759,1.0,1,0.00105,0.8,0.01,0.5,9.35
12,0.68,0.72,0.31,641,1.0,0,0.00106,0.68,0.41,0.0,8.45
6,0.59,0.57,0.71,377,1.7,5,0.00156,0.3471,0.14,0.8333,6.1
4,0.46,0.68,0.9,523,1.53,1,0.00088,0.3007,0.22,0.25,8.01
11,0.66,0.79,0.71,861,2.05,1,0.00077,0.322,0.08,0.0909,8.52
17,0.58,0.91,0.96,658,1.0,1,0.00088,0.58,0.05,0.0588,10.0
6,0.96,0.63,0.66,941,2.03,1,0.00102,0.4729,0.03,0.1667,8.86
5,0.63,0.75,0.85,933,2.57,0,0.00068,0.2451,0.1,0.0,7.77
20,0.63,0.79,0.57,531,1.68,1,0.00119,0.375,0.22,0.05,9.25
2,0.55,0.55,0.84,115,1.07,0,0.00478,0.514,0.29,0.0,8.65
6,0.67,0.86,0.73,684,1.6,0,0.00098,0.4188,0.13,0.0,9.4
11,0.63,0.52,0.67,72,1.04,1,0.00875,0.6058,0.15,0.0909,9.35
16,0.87,0.75,0.31,499,1.0,2,0.00174,0.87,0.44,0.125,9.15
16,0.72,0.69,0.66,77,1.98,0,0.00935,0.3636,0.03,0.0,9.84
1,0.7,0.66,0.73,753,1.4,0,0.00093,0.5,0.07,0.0,7.86
9,0.69,0.96,0.82,172,2.34,1,0.00401,0.2949,0.14,0.1111,8.27
6,0.78,0.61,0.93,288,1.19,0,0.00271,0.6555,0.32,0.0,8.27
16,0.65,0.61,1.0,230,1.26,2,0.00283,0.5159,0.39,0.125,9.93
3,0.77,0.81,0.89,354,1.1,0,0.00218,0.7,0.08,0.0,9.01
20,0.86,0.74,0.62,248,1.0,3,0.00347,0.86,0.12,0.15,9.93
4,0.75,0.8,0.65,485,2.07,3,0.00155,0.3623,0.15,0.75,6.98
19,0.68,0.66,0.81,138,3.03,1,0.00493,0.2244,0.15,0.0526,9.02
3,0.6,0.69,0.78,717,1.23,0,0.00084,0.4878,0.09,0.0,8.28
19,0.67,0.88,0.94,978,1.02,1,0.00069,0.6569,0.06,0.0526,10.0
20,0.76,0.55,1.0,241,1.0,1,0.00315,0.76,0.45,0.05,10.0
7,0.55,0.64,1.0,558,1.02,3,0.00099,0.5392,0.36,0.4286,7.49
20,0.78,0.75,0.92,857,2.65,0,0.00091,0.2943,0.17,0.0,9.54
9,0.72,0.63,0.78,821,1.0,1,0.00088,0.72,0.15,0.1111,8.3
1,0.69,0.58,0.9,925,1.09,2,0.00075,0.633,0.32,2.0,7.3
8,0.63,0.72,0.95,885,1.0,0,0.00071,0.63,0.23,0.0,9.5
7,0.65,0.81,0.68,767,1.71,0,0.00085,0.3801,0.13,0.0,7.82
18,0.76,0.63,0.62,894,1.45,1,0.00085,0.5241,0.01,0.0556,8.99
8,0.69,0.63,0.58,130,1.0,1,0.00531,0.69,0.05,0.125,8.72
1,0.65,0.57,0.57,307,1.0,1,0.00212,0.65,0.0,1.0,7.61
11,0.75,0.61,0.49,205,2.57,0,0.00366,0.2918,0.12,0.0,8.92
18,0.75,0.78,0.74,677,1.52,3,0.00111,0.4934,0.04,0.1667,10.0
10,0.58,0.66,0.55,834,1.57,0,0.0007,0.3694,0.11,0.0,8.07
3,0.76,0.55,0.58,355,1.57,1,0.00214,0.4841,0.03,0.3333,8.02
7,0.95,0.68,0.81,641,2.48,2,0.00148,0.3831,0.13,0.2857,8.52
16,0.75,0.78,0.73,529,1.0,2,0.00142,0.75,0.05,0.125,9.6
16,0.53,0.58,0.76,565,1.22,1,0.00094,0.4344,0.18,0.0625,8.4
20,0.72,0.49,0.9,252,1.38,1,0.00286,0.5217,0.41,0.05,9.7
17,0.52,0.91,0.83,127,1.0,2,0.00409,0.52,0.08,0.1176,9.55
2,1.0,0.48,0.93,553,1.0,0,0.00181,1.0,0.45,0.0,9.17
1,0.92,0.61,0.71,876,2.23,1,0.00105,0.4126,0.1,1.0,7.95
16,0.63,0.68,0.94,111,2.03,2,0.00568,0.3103,0.26,0.125,8.47
12,0.48,0.62,0.75,941,2.16,0,0.00051,0.2222,0.13,0.0,7.77
5,0.61,0.64,0.73,422,1.09,1,0.00145,0.5596,0.09,0.2,8.37
5,0.68,0.72,0.92,856,1.17,1,0.00079,0.5812,0.2,0.2,8.93
9,0.52,0.36,0.57,976,1.0,0,0.00053,0.52,0.21,0.0,7.65
9,0.69,0.5,1.0,533,2.15,3,0.00129,0.3209,0.5,0.3333,7.88
3,0.68,0.66,0.66,905,2.27,0,0.00075,0.2996,0.0,0.0,7.04
19,0.71,0.6,0.52,580,2.26,0,0.00122,0.3142,0.08,0.0,8.84
16,0.72,0.67,0.8,822,2.62,1,0.00088,0.2748,0.13,0.0625,8.67
16,0.6,0.68,0.64,490,1.8,2,0.00122,0.3333,0.04,0.125,8.27
3,0.61,0.4,1.0,903,2.59,2,0.00068,0.2355,0.6,0.6667,6.33
20,0.7,0.8,0.64,357,1.36,0,0.00196,0.5147,0.16,0.0,10.0
1,0.64,0.59,0.75,494,1.0,0,0.0013,0.64,0.16,0.0,7.97
20,0.79,0.55,0.49,755,2.1,1,0.00105,0.3762,0.06,0.05,10.0
11,0.7,0.68,0.82,750,1.0,0,0.00093,0.7,0.14,0.0,9.9
17,0.89,0.66,0.58,257,1.62,0,0.00346,0.5494,0.08,0.0,9.96
8,0.78,0.79,0.8,187,2.17,1,0.00417,0.3594,0.01,0.125,8.83
4,0.81,0.68,0.64,591,1.73,0,0.00137,0.4682,0.04,0.0,9.5
6,0.71,0.79,0.39,470,3.09,0,0.00151,0.2298,0.4,0.0,6.79
8,0.72,0.54,0.72,993,1.0,2,0.00073,0.72,0.18,0.25,8.05
20,0.87,0.67,0.71,899,1.44,2,0.00097,0.6042,0.04,0.1,9.65
3,0.66,0.52,0.83,124,1.51,0,0.00532,0.4371,0.31,0.0,8.07
16,0.75,0.66,0.93,753,1.0,0,0.001,0.75,0.27,0.0,9.73
3,0.67,0.64,0.99,300,1.0,0,0.00223,0.67,0.35,0.0,8.92
18,0.67,0.63,0.83,428,1.0,1,0.00157,0.67,0.2,0.0556,10.0
14,0.58,0.63,0.74,595,1.0,1,0.00097,0.58,0.11,0.0714,9.27
18,0.63,0.74,0.49,443,1.42,1,0.00142,0.4437,0.25,0.0556,8.98
2,0.61,0.46,0.73,490,1.08,0,0.00124,0.5648,0.27,0.0,7.71
3,0.76,0.54,0.73,142,1.72,1,0.00535,0.4419,0.19,0.3333,8.16
16,0.8,0.65,0.67,890,1.95,0,0.0009,0.4103,0.02,0.0,9.19
9,0.69,0.51,0.79,756,1.91,1,0.00091,0.3613,0.28,0.1111,8.83
4,0.72,0.66,0.87,887,1.21,2,0.00081,0.595,0.21,0.5,9.05
1,0.68,0.64,0.58,670,1.7,0,0.00101,0.4,0.06,0.0,7.83
4,0.62,0.48,0.57,633,2.22,1,0.00098,0.2793,0.09,0.25,6.97
1,0.79,0.48,0.68,345,1.81,2,0.00229,0.4365,0.2,2.0,7.56
14,0.77,0.34,0.61,593,2.8,2,0.0013,0.275,0.27,0.1429,7.86
16,0.51,0.5,0.45,518,2.19,3,0.00098,0.2329,0.05,0.1875,6.88
20,0.67,0.65,0.55,271,2.7,2,0.00247,0.2481,0.1,0.1,8.12
8,0.61,0.67,0.52,185,1.0,0,0.0033,0.61,0.15,0.0,8.17
7,0.66,0.67,0.88,472,1.57,1,0.0014,0.4204,0.21,0.1429,8.63
3,0.63,0.56,0.96,558,1.27,1,0.00113,0.4961,0.4,0.3333,8.33
17,0.7,0.65,0.54,484,1.41,1,0.00145,0.4965,0.11,0.0588,8.67
1,0.67,0.7,0.78,613,1.0,1,0.00109,0.67,0.08,1.0,8.17
16,0.66,0.5,0.83,669,1.78,1,0.00099,0.3708,0.33,0.0625,8.28
12,0.81,0.66,0.48,602,1.0,2,0.00135,0.81,0.18,0.1667,8.61
19,0.76,0.73,0.72,217,1.78,2,0.0035,0.427,0.01,0.1053,9.66
14,0.63,0.59,1.0,171,1.0,0,0.00368,0.63,0.41,0.0,9.51
6,0.64,0.78,0.8,461,1.15,0,0.00139,0.5565,0.02,0.0,8.99
6,0.75,0.59,0.66,818,1.81,1,0.00092,0.4144,0.07,0.1667,7.41
13,0.75,0.55,0.62,181,1.56,1,0.00414,0.4808,0.07,0.0769,8.89
19,0.64,0.72,0.4,332,2.24,0,0.00193,0.2857,0.32,0.0,8.76
8,0.68,0.89,0.77,353,1.0,1,0.00193,0.68,0.12,0.125,9.03
2,0.88,0.66,0.99,457,1.44,1,0.00193,0.6111,0.33,0.5,8.63
1,0.64,0.73,0.58,530,2.12,1,0.00121,0.3019,0.15,1.0,7.21
15,0.89,0.59,0.41,266,1.75,2,0.00335,0.5086,0.18,0.1333,8.28
1,0.81,0.5,0.6,169,1.8,0,0.00479,0.45,0.1,0.0,7.18
5,0.87,0.67,0.83,499,2.28,3,0.00174,0.3816,0.16,0.6,8.38
16,0.64,0.69,0.64,337,1.22,0,0.0019,0.5246,0.05,0.0,9.4
19,0.68,0.61,0.58,627,1.07,1,0.00108,0.6355,0.03,0.0526,9.66
4,0.66,0.73,0.7,946,1.9,0,0.0007,0.3474,0.03,0.0,8.58
3,0.81,0.57,0.73,974,1.4,0,0.00083,0.5786,0.16,0.0,9.95
17,0.64,0.54,0.49,628,2.29,1,0.00102,0.2795,0.05,0.0588,7.78
17,0.77,0.78,0.67,999,1.76,0,0.00077,0.4375,0.11,0.0,10.0
12,0.77,0.78,0.63,541,1.06,0,0.00142,0.7264,0.15,0.0,9.53
14,0.7,0.57,0.6,862,1.74,2,0.00081,0.4023,0.03,0.1429,8.17
6,0.83,0.86,0.55,173,1.0,1,0.0048,0.83,0.31,0.1667,8.76
3,0.71,0.62,0.84,952,2.16,1,0.00075,0.3287,0.22,0.3333,7.21
9,0.78,0.66,0.6,956,1.0,0,0.00082,0.78,0.06,0.0,9.42
5,0.65,0.64,0.4,879,2.36,2,0.00074,0.2754,0.24,0.4,6.07
17,0.63,0.71,0.74,912,1.72,1,0.00069,0.3663,0.03,0.0588,9.63
14,0.77,0.68,0.81,536,1.38,0,0.00144,0.558,0.13,0.0,9.88
3,0.74,0.68,0.58,769,2.03,0,0.00096,0.3645,0.1,0.0,8.06
1,0.72,0.53,0.62,992,1.86,0,0.00073,0.3871,0.09,0.0,7.4
20,0.67,0.45,0.6,380,2.43,0,0.00176,0.2757,0.15,0.0,8.68
1,0.85,0.79,0.65,238,2.42,1,0.00357,0.3512,0.14,1.0,7.76
3,0.59,0.58,0.87,956,1.75,0,0.00062,0.3371,0.29,0.0,7.41
18,0.58,0.64,0.68,278,1.0,2,0.00209,0.58,0.04,0.1111,9.14
10,0.79,0.69,0.83,848,1.12,0,0.00093,0.7054,0.14,0.0,9.44
3,0.79,0.85,0.55,587,1.45,0,0.00135,0.5448,0.3,0.0,8.15
8,0.74,0.67,0.64,551,2.26,2,0.00134,0.3274,0.03,0.25,6.91
14,0.67,0.6,0.84,950,1.18,3,0.00071,0.5678,0.24,0.2143,9.26
18,0.75,0.59,0.58,120,1.24,0,0.00625,0.6048,0.01,0.0,9.64
15,0.87,0.65,0.85,113,2.79,2,0.0077,0.3118,0.2,0.1333,9.09
2,0.95,0.54,0.61,739,1.43,1,0.00129,0.6643,0.07,0.5,8.73
10,0.53,0.65,0.65,597,1.06,1,0.00089,0.5,0.0,0.1,8.07
2,0.66,0.64,0.95,907,2.04,2,0.00073,0.3235,0.31,1.0,6.92
17,0.65,0.85,0.63,124,1.46,1,0.00524,0.4452,0.22,0.0588,10.0
8,0.86,0.64,0.72,671,1.0,2,0.00128,0.86,0.08,0.25,9.8
1,0.45,0.42,0.79,645,2.23,1,0.0007,0.2018,0.37,1.0,6.33
9,0.75,0.97,0.73,763,1.0,1,0.00098,0.75,0.24,0.1111,9.71
11,0.67,0.76,0.74,230,1.53,1,0.00291,0.4379,0.02,0.0909,8.71
